Q16186,Proteasomal ubiquitin receptor ADRM1,Homo sapiens,IPR044867|IPR006773|IPR044868|IPR038633|IPR032368|IPR038108,doi:10.1016/j.cell.2021.04.011|doi:10.1038/s41467-019-11959-3|imex:IM-12079|imex:IM-12193|imex:IM-23318|imex:IM-27438|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:25416956|pubmed:31515488|pubmed:33961781
Q16401,26S proteasome non-ATPase regulatory subunit 5,Homo sapiens,IPR011989|IPR016024|IPR019538,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q16659,Mitogen-activated protein kinase 6,Homo sapiens,IPR011009|IPR050117|IPR008350|IPR000719|IPR017441|IPR008271,imex:IM-22750|pubmed:26972000
Q16666-2,Isoform 2 of Gamma-interferon-inducible protein 16,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-23523|pubmed:25665578
Q38845,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,Arabidopsis thaliana,IPR011989|IPR016024|IPR000357|IPR021133|IPR054573|IPR051023,imex:IM-16043|pubmed:21798944
Q39016,Calcium-dependent protein kinase 11,Arabidopsis thaliana,IPR050205|IPR011992|IPR018247|IPR002048|IPR011009|IPR000719|IPR017441|IPR008271,imex:IM-20229|pubmed:19130088
Q3KRB8,Inactive Rho GTPase-activating protein 11B,Homo sapiens,IPR042869|IPR008936|IPR000198,imex:IM-26436|pubmed:32203420
Q49A88,Coiled-coil domain-containing protein 14,Homo sapiens,IPR029343,imex:IM-12079|pubmed:19615732
Q53HC0,Coiled-coil domain-containing protein 92,Homo sapiens,IPR040370|IPR039496,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q5JXX7,Transmembrane protein 31,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
